#     Vn (<jump)        Vi (<jump)        Vn (>jump)        Vi (>jump)  
    3.920679E+06      9.025564E+05      1.414713E+06      9.025564E+05
    3.915719E+06      9.018371E+05      1.416084E+06      9.018371E+05
    3.910712E+06      9.011136E+05      1.417475E+06      9.011136E+05
    3.905656E+06      9.003860E+05      1.418883E+06      9.003860E+05
    3.900551E+06      8.996541E+05      1.420311E+06      8.996541E+05
    3.895396E+06      8.989180E+05      1.421758E+06      8.989180E+05
    3.890191E+06      8.981776E+05      1.423225E+06      8.981776E+05
    3.884935E+06      8.974329E+05      1.424712E+06      8.974329E+05
    3.879627E+06      8.966839E+05      1.426219E+06      8.966839E+05
    3.874267E+06      8.959305E+05      1.427746E+06      8.959305E+05
    3.868853E+06      8.951728E+05      1.429295E+06      8.951728E+05
    3.863386E+06      8.944108E+05      1.430865E+06      8.944108E+05
    3.857865E+06      8.936443E+05      1.432457E+06      8.936443E+05
    3.852289E+06      8.928734E+05      1.434071E+06      8.928734E+05
    3.848742E+06      8.923848E+05      1.435101E+06      8.923848E+05
    3.845174E+06      8.918945E+05      1.436139E+06      8.918945E+05
    3.841583E+06      8.914024E+05      1.437187E+06      8.914024E+05
    3.837969E+06      8.909085E+05      1.438245E+06      8.909085E+05
    3.834332E+06      8.904128E+05      1.439311E+06      8.904128E+05
    3.830672E+06      8.899153E+05      1.440387E+06      8.899153E+05
    3.826989E+06      8.894160E+05      1.441473E+06      8.894160E+05
    3.823282E+06      8.889149E+05      1.442568E+06      8.889149E+05
    3.819551E+06      8.884120E+05      1.443673E+06      8.884120E+05
    3.815797E+06      8.879073E+05      1.444789E+06      8.879073E+05
    3.812018E+06      8.874008E+05      1.445914E+06      8.874008E+05
    3.808215E+06      8.868924E+05      1.447049E+06      8.868924E+05
    3.804387E+06      8.863822E+05      1.448195E+06      8.863822E+05
    3.800535E+06      8.858702E+05      1.449351E+06      8.858702E+05
    3.796657E+06      8.853563E+05      1.450518E+06      8.853563E+05
    3.792755E+06      8.848405E+05      1.451695E+06      8.848405E+05
    3.788824E+06      8.843226E+05      1.452884E+06      8.843226E+05
    3.784864E+06      8.838023E+05      1.454086E+06      8.838023E+05
    3.780872E+06      8.832795E+05      1.455300E+06      8.832795E+05
    3.776850E+06      8.827541E+05      1.456527E+06      8.827541E+05
    3.772795E+06      8.822262E+05      1.457767E+06      8.822262E+05
    3.768709E+06      8.816958E+05      1.459020E+06      8.816958E+05
    3.764590E+06      8.811628E+05      1.460287E+06      8.811628E+05
    3.760439E+06      8.806273E+05      1.461567E+06      8.806273E+05
    3.756255E+06      8.800892E+05      1.462861E+06      8.800892E+05
    3.752037E+06      8.795484E+05      1.464170E+06      8.795484E+05
    3.747786E+06      8.790051E+05      1.465492E+06      8.790051E+05
    3.743501E+06      8.784592E+05      1.466829E+06      8.784592E+05
    3.739181E+06      8.779106E+05      1.468181E+06      8.779106E+05
    3.734826E+06      8.773593E+05      1.469548E+06      8.773593E+05
    3.730436E+06      8.768054E+05      1.470929E+06      8.768054E+05
    3.726010E+06      8.762489E+05      1.472327E+06      8.762489E+05
    3.721548E+06      8.756896E+05      1.473739E+06      8.756896E+05
    3.717050E+06      8.751276E+05      1.475168E+06      8.751276E+05
    3.712515E+06      8.745629E+05      1.476613E+06      8.745629E+05
    3.707942E+06      8.739955E+05      1.478074E+06      8.739955E+05
    3.703331E+06      8.734253E+05      1.479552E+06      8.734253E+05
    3.698682E+06      8.728524E+05      1.481047E+06      8.728524E+05
    3.693994E+06      8.722767E+05      1.482559E+06      8.722767E+05
    3.689267E+06      8.716982E+05      1.484089E+06      8.716982E+05
    3.684501E+06      8.711169E+05      1.485636E+06      8.711169E+05
    3.679694E+06      8.705328E+05      1.487201E+06      8.705328E+05
    3.674846E+06      8.699458E+05      1.488785E+06      8.699458E+05
    3.669957E+06      8.693560E+05      1.490387E+06      8.693560E+05
    3.665027E+06      8.687633E+05      1.492009E+06      8.687633E+05
    3.660054E+06      8.681678E+05      1.493649E+06      8.681678E+05
    3.655039E+06      8.675693E+05      1.495310E+06      8.675693E+05
    3.649980E+06      8.669680E+05      1.496990E+06      8.669680E+05
    3.644877E+06      8.663637E+05      1.498691E+06      8.663637E+05
    3.639730E+06      8.657565E+05      1.500412E+06      8.657565E+05
    3.634538E+06      8.651463E+05      1.502154E+06      8.651463E+05
    3.629301E+06      8.645332E+05      1.503918E+06      8.645332E+05
    3.624017E+06      8.639171E+05      1.505703E+06      8.639171E+05
    3.618686E+06      8.632980E+05      1.507511E+06      8.632980E+05
    3.613308E+06      8.626759E+05      1.509342E+06      8.626759E+05
    3.607882E+06      8.620508E+05      1.511195E+06      8.620508E+05
